Index;File;Vert min;Vert max;X min;X max;Y min;Y max;Rot angle x;Rot angle y;Dummy;Resc min;Resc max
0;0-5_1_TIF;80;1080;45;1045;98;1098;0.5;0;0;3100;4900
1;0-5_2_TIF;80;1080;52;1052;60;1060;-0.25;-1.25;0;4500;7000
2;0-5_3_TIF;60;1060;82;1082;64;1064;2;2.25;0;2600;8400
3;0-5_4_TIF;70;1070;70;1070;93;1093;0;-1.25;0;5200;8600
4;0-5_5_TIF;70;1070;43;1043;36;1036;-1.25;-2;0;2300;9900
5;0-5_6_TIF;75;1075;64;1064;89;1089;-0.25;-0.4;0;3700;6000
6;0-5_7_TIF;45;1045;44;1044;55;1055;-1.1;1;0;800;3900
7;20-25_1_TIF;60;1060;86;1086;79;1079;0;0.3;0;4200;20000
8;20-25_2_TIF;30;1030;88;1088;84;1084;-0.3;-0.3;0;2400;11500
9;20-25_3_TIF;70;1070;55;1055;74;1074;0;-1.8;0;7000;25000
10;20-25_4_TIF;80;1080;91;1091;84;1084;-0.3;2.25;0;3900;6500
11;20-25_5_TIF;65;1065;57;1057;101;1101;-0.5;0.5;0;5200;7400
12;20-25_6_TIF;70;1070;56;1056;46;1046;0;-0.7;0;9500;30000
13;20-25_7_TIF;65;1065;72;1072;85;1085;1.5;0;0;4600;11500
14;40-45_1_TIF;85;1085;55;1055;33;1033;-1.5;-1.25;0;5200;8600
15;40-45_2_TIF;100;1100;100;1100;58;1058;0.25;-0.6;0;2500;9500
16;40-45_3_scan2_TIF;100;1100;83;1083;82;1082;-0.9;0.5;0;10000;23600
17;40-45_3_TIF;95;1095;104;1104;83;1083;1.5;1.8;0;10000;23800
18;40-45_4_TIF;80;1080;59;1059;59;1059;1;-0.5;0;2200;16000
19;40-45_5_scan2_TIF;60;1060;66;1066;101;1101;0;2;0;7800;23500
20;40-45_5_TIF;70;1070;72;1072;60;1060;-0.5;0;0;3600;6800
21;40-45_6_TIF;80;1080;32;1032;68;1068;-1.4;-2.2;0;10000;24000
22;40-45_7_TIF;80;1080;45;1045;86;1086;-0.75;-0.3;0;3000;11000
